Suburb,Income
Bakoven,3
Bantry Bay,3
Camps Bay,3
Clifton,3
Fresnaye,3
Green Point,3
Hout Bay,3
Imizamo Yethu,3
Llandudno,3
Mouille Point,3
Sea Point,3
Three Anchor Bay,3
Athlone,1
Bishop Lavis,1
Bonteheuwel,1
Crawford,1
Crossroads,1
Epping,1
Gugulethu,1
Hanover Park,1
Kalksteenfontein,1
Khayelitsha,1
Langa,1
Lavender Hill,1
Manenberg,1
Mitchells Plain,1
Nyanga,1
Ottery,1
Pelican Park,1
Philippi,1
Samora Machel,1
Strandfontein,1
Valhalla Park,1
Vrygrond,1
Bo-Kaap,2
Devil's Peak Estate,2
De Waterkant,2
Foreshore,2
Gardens,2
Higgovale,2
Lower Vrede,2
Oranjezicht,2
Salt River,2
Schotsche Kloof,2
Tamboerskloof,2
University Estate,2
Vredehoek,2
Walmer Estate,2
Woodstock,2
Zonnebloem,2
Firgrove,2
Gordon's Bay,2
Macassar,2
Sir Lowry's Pass Village,2
Somerset West,2
Strand,2
Belhar,2
Bellville,2
Brackenfell,2
Bothasig,2
Brooklyn,2
Delft,2
Durbanville,2
Edgemead,2
Elsie's River,2
Goodwood,2
Kensington,2
Kraaifontein,2
Kuils River,2
Loevenstein,2
Maitland,2
Milnerton,2
Monte Vista,2
Panorama,2
Parow,2
Plattekloof,2
Rugby,2
Thornton,2
Muizenberg,2
Noordhoek,2
Cape Point,2
Capri Village,2
Clovelly,2
Fish Hoek,2
Glencairn,2
Kalk Bay,2
Kommetjie,2
Lakeside,2
Marina da Gama,2
Masiphumelele,2
Muizenberg,2
Noordhoek,2
Ocean View,2
Scarborough,2
Simon's Town,2
St James,2
Sunnydale,2
Sun Valley,2
Vrygrond,2
Bergvliet,2
Bishopscourt,2
Claremont,2
Constantia,2
Diep River,2
Grassy Park,2
Harfield Village,2
Heathfield,2
Kenilworth,2
Kenwyn,2
Kirstenhof,2
Kreupelbosch,2
Lansdowne,2
Lotus River,2
Meadowridge,2
Mowbray,2
Ndabeni,2
Newlands,2
Observatory,2
Pinelands,2
Plumstead,2
Retreat,2
Rondebosch,2
Rondebosch East,2
Rosebank,2
SouthField,2
Steenberg,2
Tokai,2
Wynberg,2
Wetton,2
Atlantis,2
Bloubergstrand,2
Darling,2
Mamre,2
Melkbosstrand,2
Milnerton,2
Montague Gardens,2
Parklands,2
Table View,2
West Beach,2